industry_code,industry_cor,industry_desc,naics_3digit_label,buyer
314900,0.1104147529716546,Other.textile.product.mills,Textile product mills,Ship building
321100,0.06745290463277707,Sawmills.and.wood.preservation,Wood product manufacturing,Ship building
322130,0.06338077651143201,Paperboard.mills,Paper manufacturing,Ship building
3259A0,0.10782538999401174,All.other.chemical.product.and.preparation.manufacturing,Chemical manufacturing,Ship building
326110,0.026497814471212005,Plastics.packaging.materials.and.unlaminated.film.and.sheet.manufacturing,Plastics and rubber products manufacturing,Ship building
326130,0.16589112481914461,Laminated.plastics.plate..sheet..except.packaging...and.shape.manufacturing,Plastics and rubber products manufacturing,Ship building
331110,0.10864379733241969,Iron.and.steel.mills.and.ferroalloy.manufacturing,Primary metal manufacturing,Ship building
331200,0.009723545266130925,Steel.product.manufacturing.from.purchased.steel,Primary metal manufacturing,Ship building
33131B,0.03601198014034604,Aluminum.product.manufacturing.from.purchased.aluminum,Primary metal manufacturing,Ship building
331490,0.2099203500298578,Nonferrous.metal..except.copper.and.aluminum..rolling..drawing..extruding.and.alloying,Primary metal manufacturing,Ship building
331510,0.00013281915517945927,Ferrous.metal.foundries,Primary metal manufacturing,Ship building
331520,0.04519527944794036,Nonferrous.metal.foundries,Primary metal manufacturing,Ship building
33211A,0.17471159085979282,All.other.forging..stamping..and.sintering,Fabricated metal product manufacturing,Ship building
332800,0.038292802142314834,Coating..engraving..heat.treating.and.allied.activities,Fabricated metal product manufacturing,Ship building
33291A,0.16068238767501383,Valve.and.fittings.other.than.plumbing,Fabricated metal product manufacturing,Ship building
333611,0.0032166099255837516,Turbine.and.turbine.generator.set.units.manufacturing,Machinery manufacturing,Ship building
333618,0.07685312729836973,Other.engine.equipment.manufacturing,Machinery manufacturing,Ship building
333920,0.034143916978088176,Material.handling.equipment.manufacturing,Machinery manufacturing,Ship building
33399B,0.11629645227513452,Fluid.power.process.machinery,Machinery manufacturing,Ship building
334413,0.1571250605773003,Semiconductor.and.related.device.manufacturing,Computer and electronic product manufacturing,Ship building
334418,0.07993230647514699,Printed.circuit.assembly..electronic.assembly..manufacturing,Computer and electronic product manufacturing,Ship building
33441A,0.19172344468976243,Other.electronic.component.manufacturing,Computer and electronic product manufacturing,Ship building
334511,0.2127430423417081,Search..detection..and.navigation.instruments.manufacturing,Computer and electronic product manufacturing,Ship building
335312,0.14445567633844025,Motor.and.generator.manufacturing,"Electrical equipment, appliance, and component manufacturing",Ship building
335314,0.030119165666829675,Relay.and.industrial.control.manufacturing,"Electrical equipment, appliance, and component manufacturing",Ship building
336310,0.07625062054677928,Motor.vehicle.gasoline.engine.and.engine.parts.manufacturing,Transportation equipment manufacturing,Ship building
336320,0.2259323039757424,Motor.vehicle.electrical.and.electronic.equipment.manufacturing,Transportation equipment manufacturing,Ship building
336350,0.009853269392230683,Motor.vehicle.transmission.and.power.train.parts.manufacturing,Transportation equipment manufacturing,Ship building
314900,0.3055662884726909,Other.textile.product.mills,Textile product mills,Boat building
322210,0.07922853614097466,Paperboard.container.manufacturing,Paper manufacturing,Boat building
323110,0.003007015171592393,Printing,Printing and related support activities,Boat building
326110,0.09951984458311261,Plastics.packaging.materials.and.unlaminated.film.and.sheet.manufacturing,Plastics and rubber products manufacturing,Boat building
326130,0.11717438715030293,Laminated.plastics.plate..sheet..except.packaging...and.shape.manufacturing,Plastics and rubber products manufacturing,Boat building
326290,0.10072011150791996,Other.rubber.product.manufacturing,Plastics and rubber products manufacturing,Boat building
331200,0.030193727681879782,Steel.product.manufacturing.from.purchased.steel,Primary metal manufacturing,Boat building
332991,0.002723069809474037,Ball.and.roller.bearing.manufacturing,Fabricated metal product manufacturing,Boat building
333618,0.11589064747967445,Other.engine.equipment.manufacturing,Machinery manufacturing,Boat building
333914,0.14520574712384565,Measuring..dispensing..and.other.pumping.equipment.manufacturing,Machinery manufacturing,Boat building
334413,0.047800449439259485,Semiconductor.and.related.device.manufacturing,Computer and electronic product manufacturing,Boat building
33441A,0.007472528571200376,Other.electronic.component.manufacturing,Computer and electronic product manufacturing,Boat building
334511,0.04504815978158559,Search..detection..and.navigation.instruments.manufacturing,Computer and electronic product manufacturing,Boat building
335120,0.014439389390510213,Lighting.fixture.manufacturing,"Electrical equipment, appliance, and component manufacturing",Boat building
336310,0.07306969554952225,Motor.vehicle.gasoline.engine.and.engine.parts.manufacturing,Transportation equipment manufacturing,Boat building
336390,0.005512661484585814,Other.motor.vehicle.parts.manufacturing,Transportation equipment manufacturing,Boat building
336612,0.13152213685897127,Boat.building,Transportation equipment manufacturing,Boat building
