company,country,expiration_date,product_type,product_name,id,address,city,state_province,phone,website,level_one_class,level_two_class,reasoning,society,company_clean,company_standardized,has_overlap,standardized_product_type
ALCOTEC WIRE CORPORATION,United States,2024-01-14,Welding Consumables,Brand / Trade Name: ALMIGWELD ER5183 MIG Welding,classnk_3f778b11,"2750 AERO PARK DRIVE, TAVERSE CITY, MI, U.S.A.",TAVERSE CITY,MI,+1 2319414111,,Materials,Welding materials,"Welding consumables are materials that are consumed/used up during the welding process (electrodes, filler wire, flux, etc.). This aligns with Example 3 'Welding materials' and Example 4's specific welding materials classification. Since consumables are substances/materials that get consumed rather than equipment, they belong under 'Materials' rather than 'General Part' or 'Machine Installation'.",classnk,alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Welding Consumables
ALCOTEC WIRE CORPORATION,United States,2024-03-02,Welding Consumables,Brand / Trade Name: ALMIGWELD ER5556 MIG Welding,classnk_fff5e6b2,"2750 AERO PARK DRIVE, TAVERSE CITY, MI, U.S.A.",TAVERSE CITY,MI,+1 2319414111,,Materials,Welding materials,"Welding consumables are materials that are consumed/used up during the welding process (electrodes, filler wire, flux, etc.). This aligns with Example 3 'Welding materials' and Example 4's specific welding materials classification. Since consumables are substances/materials that get consumed rather than equipment, they belong under 'Materials' rather than 'General Part' or 'Machine Installation'.",classnk,alcotec wire companyrporationoration,alcotec wire companyrporationoration,False,Welding Consumables
"DAVCO Technology, LLC",United States,2027-03-13,Filter,"Sea Pro 881 and 882, Sea Pro 891 and 892",classnk_f6f1b7b1,"P.O.Box 487 Saline, MI   UNITED STATES",Saline,MI,+1-800-328-2611,http://www.davco.com/,Machine Installation,Purification equipment,"Based on the examples provided, filters are clearly purification equipment used to clean or purify fluids (air, water, oil, fuel, etc.) on ships. All purification equipment examples (tank cleaning machinery, domestic sewage treatment, seawater desalination plant, waste gas treatment) are classified under Machine Installation > Purification equipment. A filter serves the same fundamental purpose - removing impurities from fluids - making this the most appropriate classification.",classnk,davco technology llc,davco technology llc,False,Filter
"Freudenberg Battery Power Systems, LLC",United States,2028-02-28,Lithium-ion Battery System,XPAND Battery System,lr_645fcbfd,"2700 S. Saginaw Rd., Midland, Michigan, 48640, United States",Midland,MI,"=""""",,Electrical Parts,"Motors, chemical power sources","A lithium-ion battery system is fundamentally an electrical/chemical power source used to store and supply electrical energy on ships. This aligns perfectly with Example 1 where 'battery' is classified under 'Electrical Parts > Motors, chemical power sources'. The term 'system' indicates it's a complete battery setup rather than just individual cells, but the core function remains as a chemical power source for electrical applications.",lr,freudenberg battery power systems llc,freudenberg battery power systems llc,False,Li-Ion Battery System
The Oilgear Company,United States,2026-06-18,Control Valve,FSV-0303-D-04,lr_984c5f7f,"1424 International Drive, Traverse City, MI, 49686, United States",Traverse City,MI,"=""+1231929-1660""",www.oilgear.com,Tube Part,Valve,"Based on the examples provided, all valve-related components are classified under 'Tube Part > Valve' with the specific valve type at Level 3. The examples show 'Stop valve', 'Check valve', 'Self closing valve', and 'Adjustment valve' all following this pattern. Since 'Control Valve' is a specific type of valve used to control fluid flow, it should follow the same classification structure as these examples.",lr,the oilgear companympany,the oilgear companympany,False,Control Valve
Triumph Controls LLc.,United States,2029-05-24,Pipe Penetration (Standard Fire Test),DECK/BULKHEAD RMVA Penetration,lr_18d539d0,"1960 North Michigan Road, Indiana, Shelbyville, 46176, United States",Shelbyville,MI,"=""""",,Tube Part,Fire protection system,"Pipe penetration refers to a structural element that allows pipes to pass through fire-rated bulkheads or decks while maintaining fire integrity. This is clearly a fire protection system component, similar to how 'Fire detection device' and 'Fire extinguishing equipment' are classified under 'Tube Part > Fire protection system'. The term 'Standard Fire Test' further confirms this is specifically about fire-rated pipe penetrations, making it a specialized fire protection component rather than a general pipe or material.",lr,triumph companyntrols llc,triumph companyntrols llc,False,Pipe Penetration (Standard Fire Test)
The Oilgear Company,United States,2029-10-22,Valve,ARV-0404-X-05,dnv_743ab7aa,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2029-09-30,Valve,"NV-Isolation Valve, Model SV364-01 & SV364-02",dnv_4a85c09a,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2029-04-23,Valve,,dnv_4867177d,,Traverse City,MI,,,Tube Part,Valve,"The component 'Valve' exactly matches the first example provided, where 'Valve' is classified directly under 'Tube Part > Valve' without a Level 3 specification. According to the taxonomy rules, valves are explicitly categorized under 'Tube Part' as they are piping/valves/fittings components. This is consistent across all provided examples where any type of valve (check valve, self closing valve, stop valve, other valves) falls under the 'Tube Part' category.",dnv,the oilgear companympany,the oilgear companympany,False,Valve
The Oilgear Company,United States,2028-10-02,Miscellaneous,BARS-5000-7500-04,dnv_f25d537c,,Traverse City,MI,,,General Part,Miscellaneous items,"The term 'Miscellaneous' by itself is too generic to fit neatly into any specific category. Based on the examples, when 'miscellaneous' appears without context (like 'miscellaneous box' or 'miscellaneous utensils'), it defaults to a catch-all category. Since there's no specific location (interior/exterior) or function (kitchen/electrical) provided, it best fits under General Part as a miscellaneous item that could apply anywhere on the ship.",dnv,the oilgear companympany,the oilgear companympany,False,Miscellaneous
