io_code,industry_desc,naics_3digit_sector,correlation,mi_establishments,mi_employment,buyer
323110,Printing,Printing and related support activities,0.003007015171592393,559,11376,Boat Building (336612)
33399B,Fluid power process machinery,Machinery manufacturing,0.11629645227513452,174,9780,Ship Building & Repair (336611)
336390,Other motor vehicle parts manufacturing,Transportation equipment manufacturing,0.005512661484585814,136,27291,Boat Building (336612)
33211A,All other forging  stamping  and sintering,Fabricated metal product manufacturing,0.17471159085979282,85,5502,Ship Building & Repair (336611)
333920,Material handling equipment manufacturing,Machinery manufacturing,0.034143916978088176,84,5365,Ship Building & Repair (336611)
33441A,Other electronic component manufacturing,Computer and electronic product manufacturing,0.19172344468976243,48,3736,Boat Building (336612) & Ship Building & Repair (336611)
336310,Motor vehicle gasoline engine and engine parts manufacturing,Transportation equipment manufacturing,0.07625062054677928,45,10175,Boat Building (336612) & Ship Building & Repair (336611)
322210,Paperboard container manufacturing,Paper manufacturing,0.07922853614097466,43,5759,Boat Building (336612)
336320,Motor vehicle electrical and electronic equipment manufacturing,Transportation equipment manufacturing,0.2259323039757424,40,5658,Ship Building & Repair (336611)
336350,Motor vehicle transmission and power train parts manufacturing,Transportation equipment manufacturing,0.009853269392230683,36,12399,Ship Building & Repair (336611)
331520,Nonferrous metal foundries,Primary metal manufacturing,0.04519527944794036,28,2754,Ship Building & Repair (336611)
335312,Motor and generator manufacturing,"Electrical equipment, appliance, and component manufacturing",0.14445567633844025,27,1100,Ship Building & Repair (336611)
335314,Relay and industrial control manufacturing,"Electrical equipment, appliance, and component manufacturing",0.030119165666829675,24,1026,Ship Building & Repair (336611)
33291A,Valve and fittings other than plumbing,Fabricated metal product manufacturing,0.16068238767501383,18,2954,Ship Building & Repair (336611)
334418,Printed circuit assembly  electronic assembly  manufacturing,Computer and electronic product manufacturing,0.07993230647514699,18,1628,Ship Building & Repair (336611)
326290,Other rubber product manufacturing,Plastics and rubber products manufacturing,0.10072011150791996,11,829,Boat Building (336612)
331110,Iron and steel mills and ferroalloy manufacturing,Primary metal manufacturing,0.10864379733241969,8,147,Ship Building & Repair (336611)
334413,Semiconductor and related device manufacturing,Computer and electronic product manufacturing,0.1571250605773003,7,186,Boat Building (336612) & Ship Building & Repair (336611)
334511,Search  detection  and navigation instruments manufacturing,Computer and electronic product manufacturing,0.2127430423417081,7,1906,Boat Building (336612) & Ship Building & Repair (336611)
333618,Other engine equipment manufacturing,Machinery manufacturing,0.11589064747967445,6,4472,Boat Building (336612) & Ship Building & Repair (336611)
331510,Ferrous metal foundries,Primary metal manufacturing,0.00013281915517945927,6,2843,Ship Building & Repair (336611)
335120,Lighting fixture manufacturing,"Electrical equipment, appliance, and component manufacturing",0.014439389390510213,6,226,Boat Building (336612)
33131B,Aluminum product manufacturing from purchased aluminum,Primary metal manufacturing,0.03601198014034604,6,1199,Ship Building & Repair (336611)
333914,Measuring  dispensing  and other pumping equipment manufacturing,Machinery manufacturing,0.14520574712384565,4,31,Boat Building (336612)
322130,Paperboard mills,Paper manufacturing,0.06338077651143201,4,451,Ship Building & Repair (336611)
336612,Boat building,Transportation equipment manufacturing,0.13152213685897127,4,384,Boat Building (336612)
332991,Ball and roller bearing manufacturing,Fabricated metal product manufacturing,0.002723069809474037,3,65,Boat Building (336612)
333611,Turbine and turbine generator set units manufacturing,Machinery manufacturing,0.0032166099255837516,3,195,Ship Building & Repair (336611)
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,Plastics and rubber products manufacturing,0.09951984458311261,3,164,Boat Building (336612) & Ship Building & Repair (336611)
321100,Sawmills and wood preservation,Wood product manufacturing,0.06745290463277707,0,0,Ship Building & Repair (336611)
332800,Coating  engraving  heat treating and allied activities,Fabricated metal product manufacturing,0.038292802142314834,0,0,Ship Building & Repair (336611)
331490,Nonferrous metal  except copper and aluminum  rolling  drawing  extruding and alloying,Primary metal manufacturing,0.2099203500298578,0,0,Ship Building & Repair (336611)
331200,Steel product manufacturing from purchased steel,Primary metal manufacturing,0.030193727681879782,0,0,Boat Building (336612) & Ship Building & Repair (336611)
326130,Laminated plastics plate  sheet  except packaging   and shape manufacturing,Plastics and rubber products manufacturing,0.16589112481914461,0,0,Boat Building (336612) & Ship Building & Repair (336611)
3259A0,All other chemical product and preparation manufacturing,Chemical manufacturing,0.10782538999401174,0,0,Ship Building & Repair (336611)
314900,Other textile product mills,Textile product mills,0.3055662884726909,0,0,Boat Building (336612) & Ship Building & Repair (336611)
